Animal_Id,Animal_Type,Animal_Breed
A1001188,DOG,LABRADOR RETR
A1001892,DOG,AMER BULLDOG
A1002083,DOG,CHIHUAHUA SH
A1002166,DOG,NORFOLK TERRIER
A1002192,DOG,ROTTWEILER
A1002192,DOG,ROTTWEILER
A1002192,DOG,ROTTWEILER
A1003255,DOG,SCHNAUZER MIN
A1003694,DOG,GERM SHEPHERD
A1003752,DOG,PIT BULL
A1003752,DOG,PIT BULL
A1003752,DOG,PIT BULL
A1003974,DOG,MIXED BREED
A1003974,DOG,MIXED BREED
A1004045,DOG,LABRADOR RETR
A1004045,DOG,LABRADOR RETR
A1004091,DOG,CHIHUAHUA SH
A1004091,DOG,CHIHUAHUA SH
A1004272,DOG,PIT BULL
A1004381,DOG,ST BERNARD SMTH
A1004381,DOG,ST BERNARD SMTH
A1004598,DOG,GERM SHEPHERD
A1004638,DOG,LABRADOR RETR
A1004833,DOG,PIT BULL
A1004833,DOG,PIT BULL
A1005038,DOG,MIXED BREED
A1005263,DOG,GERM SHEPHERD
A1005320,DOG,CHIHUAHUA SH
A1005324,DOG,DACHSHUND
A1005336,DOG,PIT BULL
A1005666,DOG,MIXED BREED
A1006379,DOG,PIT BULL
A1006379,DOG,PIT BULL
A1006379,DOG,PIT BULL
A1006506,DOG,GERM SHEPHERD
A1006791,CAT,DOMESTIC SH
A1006863,DOG,YORKSHIRE TERR
A1007580,DOG,YORKSHIRE TERR
A1007977,CAT,DOMESTIC MH
A1008294,DOG,PIT BULL
A1008442,DOG,AMERICAN STAFF
A1008756,DOG,PIT BULL
A1008842,DOG,PIT BULL
A1009189,CAT,DOMESTIC SH
A1009934,DOG,PIT BULL
A1010062,DOG,GREAT PYRENEES
A1010137,DOG,PIT BULL
A1010432,DOG,PIT BULL
A1011031,DOG,BOXER
A1011595,DOG,RHOD RIDGEBACK
A1011964,DOG,SHIH TZU
A1011968,DOG,SHIH TZU
A1011968,DOG,SHIH TZU
A1012195,DOG,PIT BULL
A1012195,DOG,PIT BULL
A1012195,DOG,PIT BULL
A1012270,DOG,GERM SHEPHERD
A1012469,DOG,LABRADOR RETR
A1012928,DOG,GERM SHEPHERD
A1013033,DOG,ALASKAN HUSKY
A1013155,DOG,PIT BULL
A1013155,DOG,PIT BULL
A1013155,DOG,PIT BULL
A1013155,DOG,PIT BULL
A1013243,DOG,RAT TERRIER
A1013516,DOG,AUST SHEPHERD
A1013764,DOG,PIT BULL
A1014092,DOG,SCHNAUZER MIN
A1014800,DOG,MANCHESTER TERR
A1014920,DOG,PIT BULL
A1015027,DOG,PIT BULL
A1015088,DOG,PIT BULL
A1015088,DOG,PIT BULL
A1015436,DOG,GERM SHEPHERD
A1016781,DOG,AUST SHEPHERD
A1016850,DOG,GERM SHEPHERD
A1017801,DOG,GERM SHEPHERD
A1017914,DOG,GERM SHEPHERD
A1017914,DOG,GERM SHEPHERD
A1018431,DOG,PIT BULL
A1018567,DOG,PIT BULL
A1018801,DOG,PIT BULL
A1019067,DOG,PIT BULL
A1019067,DOG,PIT BULL
A1019298,DOG,POINTER
A1019299,DOG,PIT BULL
A1019299,DOG,PIT BULL
A1019393,DOG,GERM SHEPHERD
A1019573,DOG,GERM SHEPHERD
A1020110,DOG,LABRADOR RETR
A1020176,DOG,POODLE MIN
A1020220,DOG,PIT BULL
A1020276,DOG,PIT BULL
A1020344,DOG,MIXED BREED
A1020356,DOG,LABRADOR RETR
A1020422,DOG,SCHNAUZER MIN
A1020748,DOG,PIT BULL
A1020748,DOG,PIT BULL
A1020748,DOG,PIT BULL
A1021199,DOG,PIT BULL
A1021474,DOG,PIT BULL
A1021474,DOG,PIT BULL
A1021475,DOG,DACHSHUND
A1021501,DOG,LABRADOR RETR
A1021501,DOG,LABRADOR RETR
A1021501,DOG,LABRADOR RETR
A1022166,DOG,PIT BULL
A1022526,DOG,AMERICAN STAFF
A1022739,DOG,ALASK MALAMUTE
A1022739,DOG,ALASK MALAMUTE
A1022739,DOG,ALASK MALAMUTE
A1022739,DOG,ALASK MALAMUTE
A1022799,DOG,AM PIT BULL TER
A1023434,DOG,CHIHUAHUA SH
A1023434,DOG,CHIHUAHUA SH
A1023641,DOG,AMER BULLDOG
A1023798,DOG,CHOW CHOW
A1023983,DOG,ALASKAN HUSKY
A1023986,DOG,PIT BULL
A1024627,DOG,GREAT PYRENEES
A1025176,DOG,GREAT DANE
A1025250,CAT,DOMESTIC SH
A1025530,DOG,LABRADOR RETR
A1025530,DOG,LABRADOR RETR
A1025530,DOG,LABRADOR RETR
A1025530,DOG,LABRADOR RETR
A1025713,DOG,AUST CATTLE DOG
A1025935,DOG,PIT BULL
A1026530,DOG,CHIHUAHUA SH
A1026648,DOG,CAIRN TERRIER
A1026659,DOG,AUST CATTLE DOG
A1027921,DOG,ROTTWEILER
A1028146,DOG,GERM SHEPHERD
A1028186,DOG,POODLE TOY
A1028719,DOG,PIT BULL
A1029139,DOG,MIXED BREED
A1029139,DOG,MIXED BREED
A1029294,DOG,DOBERMAN PINSCH
A1029394,DOG,PIT BULL
A1029450,DOG,PIT BULL
A1029798,DOG,CHIHUAHUA SH
A1029798,DOG,CHIHUAHUA SH
A1029798,DOG,CHIHUAHUA SH
A1029911,DOG,MIXED BREED
A1029972,DOG,MIXED BREED
A1030124,DOG,PIT BULL
A1030158,DOG,PIT BULL
A1030749,DOG,MIXED BREED
A1030935,DOG,BOSTON TERRIER
A1030935,DOG,BOSTON TERRIER
A1030986,DOG,PIT BULL
A1031072,DOG,PIT BULL
A1031714,DOG,MIXED BREED
A1031714,DOG,MIXED BREED
A1031714,DOG,MIXED BREED
A1031743,DOG,LABRADOR RETR
A1031743,DOG,LABRADOR RETR
A1031744,DOG,GERM SHEPHERD
A1031744,DOG,GERM SHEPHERD
A1031744,DOG,GERM SHEPHERD
A1031744,DOG,GERM SHEPHERD
A1031833,DOG,CAIRN TERRIER
A1031924,DOG,LABRADOR RETR
A1031994,DOG,AM PIT BULL TER
A1032087,DOG,PIT BULL
A1032143,DOG,PIT BULL
A1032248,DOG,CHIHUAHUA SH
A1032513,DOG,GERM SHEPHERD
A1032519,DOG,PIT BULL
A1032542,DOG,PIT BULL
A1032647,DOG,PIT BULL
A1032847,DOG,GREAT PYRENEES
A1032907,DOG,AM PIT BULL TER
A1032907,DOG,AM PIT BULL TER
A1033238,DOG,AUST SHEPHERD
A1033666,DOG,GERM SHEPHERD
A1033667,DOG,MIXED BREED
A1034276,DOG,CHIHUAHUA SH
A1034893,DOG,PIT BULL
A1035361,DOG,CHIHUAHUA SH
A1035652,DOG,PIT BULL
A1035872,DOG,GERM SHEPHERD
A1036055,DOG,GERM SHEPHERD
A1037309,DOG,LABRADOR RETR
A1037805,DOG,CHIHUAHUA SH
A1038016,DOG,CHIHUAHUA SH
A1038194,DOG,BOXER
A1038196,DOG,BOXER
A1038289,DOG,AUST CATTLE DOG
A1038632,DOG,GERM SHEPHERD
A1038632,DOG,GERM SHEPHERD
A1038632,DOG,GERM SHEPHERD
A1038917,CAT,DOMESTIC SH
A1039072,DOG,GREAT PYRENEES
A1039147,DOG,GERM SHEPHERD
A1039314,DOG,PIT BULL
A1039822,DOG,PIT BULL
A1039822,DOG,PIT BULL
A1040000,DOG,MIXED BREED
A1040568,DOG,GERM SHEPHERD
A1040571,DOG,DOBERMAN PINSCH
A1040757,DOG,PIT BULL
A1040798,DOG,AUST CATTLE DOG
A1040798,DOG,AUST CATTLE DOG
A1040798,DOG,AUST CATTLE DOG
